,Currency,Name,Units per EUR,EUR per unit,Date
23,TRY,Turkish Lira,18.178702481953515,0.0550094266074669,2022-08-29
24,KES,Kenyan Shilling,119.95009094455229,0.0083368006820624,2022-08-29
25,KRW,South Korean Won,1348.8689858351984,0.0007413618449984,2022-08-29
26,EGP,Egyptian Pound,19.19844734935052,0.0520875455084043,2022-08-29
27,IQD,Iraqi Dinar,1459.2358640320188,0.0006852901745691,2022-08-29
28,NOK,Norwegian Krone,9.746619660095222,0.1025996740279316,2022-08-29
29,KWD,Kuwaiti Dinar,0.3080624789379319,3.24609476443731,2022-08-29
30,RUB,Russian Ruble,61.20317405643917,0.0163390218794508,2022-08-29
31,DKK,Danish Krone,7.437292970390393,0.1344575242606731,2022-08-29
32,PKR,Pakistani Rupee,221.56937263994035,0.0045132591570994,2022-08-29
33,ILS,Israeli Shekel,3.318084450775657,0.3013787065504717,2022-08-29
34,PLN,Polish Zloty,4.730969041311589,0.2113731861840223,2022-08-29
35,QAR,Qatari Riyal,3.638613470980957,0.2748299614606779,2022-08-29
36,XAU,Gold Ounce,0.0005742675210127,1741.3486979663548,2022-08-29
37,OMR,Omani Rial,0.3848623125457012,2.598331838172004,2022-08-29
38,COP,Colombian Peso,4389.942432144468,0.0002277934199495,2022-08-29
39,CLP,Chilean Peso,885.1323515455838,0.0011297745453025,2022-08-29
40,TWD,Taiwan New Dollar,30.39359077512489,0.0329016734942168,2022-08-29
41,ARS,Argentine Peso,138.28083887967043,0.007231659918336,2022-08-29
42,CZK,Czech Koruna,24.587872560533267,0.0406704564430324,2022-08-29
43,VND,Vietnamese Dong,23411.343867236927,4.27143356515e-05,2022-08-29
44,MAD,Moroccan Dirham,10.563454278664892,0.094666003526868,2022-08-29
45,JOD,Jordanian Dinar,0.7087299315729392,1.410974696356654,2022-08-29
46,BHD,Bahraini Dinar,0.3758567761233076,2.6605879247789037,2022-08-29
47,XOF,CFA Franc,655.957,0.0015244901723741,2022-08-29
48,LKR,Sri Lankan Rupee,359.9568686253981,0.0027781106214719,2022-08-29
49,UAH,Ukrainian Hryvnia,36.78126073353437,0.0271877575715689,2022-08-29
50,NGN,Nigerian Naira,422.03798392151424,0.0023694549734792,2022-08-29
51,TND,Tunisian Dinar,3.204330126344141,0.3120777075303761,2022-08-29
52,UGX,Ugandan Shilling,3829.2314830498217,0.0002611490071641,2022-08-29
53,RON,Romanian Leu,4.866227685185811,0.2054979883173749,2022-08-29
54,BDT,Bangladeshi Taka,95.18657867162024,0.0105056827754031,2022-08-29
55,PEN,Peruvian Sol,3.830610237272297,0.2610550116192663,2022-08-29
56,GEL,Georgian Lari,2.887839968772328,0.3462795760199683,2022-08-29
57,XAF,Central African CFA Franc BEAC,655.957,0.0015244901723741,2022-08-29
58,FJD,Fijian Dollar,2.211425386007175,0.4521970337898416,2022-08-29
59,VEF,Venezuelan Bolívar,783775.5838832955,1.2758754171e-06,2022-08-29
60,VES,Venezuelan Bolívar,7.837755838832956,0.1275875417100133,2022-08-29
61,BYN,Belarusian Ruble,2.523902923482826,0.3962117523205145,2022-08-29
62,HRK,Croatian Kuna,7.510752880662413,0.1331424446908183,2022-08-29
63,UZS,Uzbekistani Som,10883.29430874003,9.18839435589e-05,2022-08-29
64,BGN,Bulgarian Lev,1.95583,0.5112918811962185,2022-08-29
65,DZD,Algerian Dinar,140.38302768248428,0.0071233682340986,2022-08-29
66,IRR,Iranian Rial,42266.31676499967,2.36595018572e-05,2022-08-29
67,DOP,Dominican Peso,53.33527804873914,0.0187493163359188,2022-08-29
68,ISK,Icelandic Krona,141.89919767201397,0.0070472561959892,2022-08-29
69,CRC,Costa Rican Colon,655.9608473147714,0.0015244812309966,2022-08-29
70,XAG,Silver Ounce,0.0530038285767694,18.866561658873827,2022-08-29
71,SYP,Syrian Pound,2511.55723471271,0.0003981593515683,2022-08-29
72,JMD,Jamaican Dollar,151.88056146694606,0.0065841210378829,2022-08-29
73,LYD,Libyan Dinar,4.928369441051453,0.2029068664516864,2022-08-29
74,GHS,Ghanaian Cedi,9.970639384918366,0.1002944707350066,2022-08-29
75,MUR,Mauritian Rupee,44.20710378463375,0.0226207987945049,2022-08-29
76,AOA,Angolan Kwanza,427.2392918815432,0.0023406086916679,2022-08-29
77,UYU,Uruguayan Peso,40.419363756857486,0.0247406170472028,2022-08-29
78,AFN,Afghan Afghani,88.47618326520458,0.0113024767015834,2022-08-29
79,LBP,Lebanese Pound,1506.9257712922508,0.0006636026930128,2022-08-29
80,XPF,CFP Franc,119.331742243,0.0083800000000306,2022-08-29
81,TTD,Trinidadian Dollar,6.799344669232567,0.1470729972735547,2022-08-29
82,TZS,Tanzanian Shilling,2330.7185089280238,0.0004290522412592,2022-08-29
83,ALL,Albanian Lek,117.00284250429527,0.0085468009032625,2022-08-29
84,XCD,East Caribbean Dollar,2.698940026222457,0.3705158285416365,2022-08-29
85,GTQ,Guatemalan Quetzal,7.751652891564047,0.1290047444059676,2022-08-29
86,NPR,Nepalese Rupee,127.9249165087675,0.007817085422381,2022-08-29
87,BOB,Bolivian Bolíviano,6.922459440024831,0.1444573288820039,2022-08-29
88,ZWD,Zimbabwean Dollar,361.7621470186836,0.0027642471945754,2022-08-29
89,BBD,Barbadian or Bajan Dollar,1.9992381708686575,0.5001905298584338,2022-08-29
90,CUC,Cuban Convertible Peso,0.9996190854343288,1.0003810597168676,2022-08-29
91,LAK,Lao Kip,15371.465470793468,6.50556059147e-05,2022-08-29
92,BND,Bruneian Dollar,1.395252286576061,0.7167162595762467,2022-08-29
93,BWP,Botswana Pula,12.80737425539339,0.0780800170322877,2022-08-29
94,HNL,Honduran Lempira,24.63802643568499,0.0405876664922978,2022-08-29
95,PYG,Paraguayan Guarani,6887.568376494799,0.0001451891212307,2022-08-29
96,ETB,Ethiopian Birr,52.59773515786853,0.0190122254693774,2022-08-29
97,NAD,Namibian Dollar,16.8240920851067,0.0594385714807895,2022-08-29
